Date,Open,High,Low,Close,MA5,MA20,diff,max_20_WK,min_20_WK
2022-06-24,35.43,37.0,34.78,36.92,36.786,40.796,-0.354,46.73,35.17
2022-07-01,38.0,38.39,35.48,35.5,36.656,40.3,-0.496,46.73,35.17
2022-07-08,35.9,38.19,35.71,38.0,36.784,39.946,-0.354,46.73,35.17
2022-07-15,38.12,38.21,35.96,36.67,36.452,39.665,-0.281,46.73,35.17
2022-07-22,36.91,39.3,36.91,39.1,37.238,39.498,-0.167,46.73,35.17
2022-07-29,38.7,40.2,38.15,40.0,37.854,39.45,-0.048,46.73,35.17
2022-08-05,39.99,41.51,39.5,41.4,39.034,39.384,-0.066,46.73,35.17
2022-08-12,40.87,41.49,39.9,41.32,39.698,39.118,-0.266,46.73,35.17
2022-08-19,41.78,42.38,41.31,41.42,40.648,38.852,-0.266,45.72,35.17
2022-08-26,40.89,41.6,39.73,41.37,41.102,38.634,-0.218,43.3,35.17
2022-09-02,39.18,39.95,38.75,39.27,40.956,38.433,-0.201,41.42,35.17
2022-09-09,38.88,39.26,38.14,39.15,40.506,38.394,-0.039,41.42,35.17
2022-09-16,40.2,40.82,38.28,38.34,39.91,38.311,-0.083,41.42,35.17
2022-09-23,38.34,38.95,37.7,37.8,39.186,38.25,-0.061,41.42,35.17
2022-09-30,36.86,37.86,36.6,36.72,38.256,38.301,0.051,41.42,35.17
2022-10-07,35.82,37.82,35.81,37.3,37.862,38.365,0.064,41.42,35.17
2022-10-14,35.74,35.83,34.6,35.57,37.146,38.336,-0.029,41.42,35.17
2022-10-21,34.52,36.73,34.21,35.37,36.552,38.236,-0.1,41.42,35.17
2022-10-28,36.71,36.76,34.28,34.3,35.852,38.034,-0.202,41.42,34.3
2022-11-04,34.89,35.04,32.5,33.44,35.196,37.948,-0.086,41.42,33.44
2022-11-11,33.24,34.56,31.99,34.15,34.566,37.81,-0.138,41.42,33.44
2022-11-18,34.47,35.94,34.47,35.43,34.538,37.806,-0.004,41.42,33.44
2022-11-25,34.98,35.42,34.15,35.11,34.486,37.662,-0.144,41.42,33.44
2022-12-02,34.66,36.41,34.26,36.38,34.902,37.647,-0.015,41.42,33.44
2022-12-09,36.55,36.76,35.09,36.13,35.44,37.498,-0.149,41.42,33.44
2022-12-16,36.12,36.6,34.98,35.08,35.626,37.252,-0.246,41.42,33.44
2022-12-23,34.85,34.92,33.31,33.55,35.25,36.86,-0.392,41.42,33.44
2022-12-30,33.55,33.7,32.17,32.95,34.818,36.442,-0.418,41.42,32.95
2023-01-06,33.16,33.28,32.45,32.46,34.034,35.994,-0.448,41.37,32.46
2023-01-13,33.2,34.9,32.9,34.71,33.75,35.66,-0.334,39.27,32.46
2023-01-20,35.05,35.16,34.98,34.98,33.73,35.446,-0.214,39.15,32.46
2023-02-03,37.8,41.5,37.47,41.1,35.24,35.544,0.098,41.1,32.46
2023-02-10,40.96,42.36,40.94,41.25,36.9,35.689,0.145,41.25,32.46
2023-02-17,40.56,42.85,40.35,41.22,38.652,35.86,0.171,41.25,32.46
2023-02-24,41.14,41.15,40.05,40.63,39.836,36.056,0.196,41.25,32.46
2023-03-03,40.6,40.72,39.9,39.97,40.834,36.189,0.133,41.25,32.46
2023-03-10,40.95,41.18,39.93,39.99,40.612,36.41,0.221,41.25,32.46
2023-03-17,39.73,42.95,39.71,42.88,40.938,36.786,0.376,42.88,32.46
2023-03-24,42.88,43.76,42.64,43.76,41.446,37.259,0.473,43.76,32.46
2023-03-31,43.85,44.5,43.09,44.43,42.206,37.808,0.549,44.43,32.46
2023-04-07,44.0,44.6,43.76,44.52,43.116,38.326,0.518,44.52,32.46
2023-04-14,44.52,44.72,43.73,44.48,44.014,38.779,0.453,44.52,32.46
2023-04-21,44.68,44.68,43.93,43.95,44.228,39.221,0.442,44.52,32.46
2023-04-28,43.95,45.0,43.45,44.87,44.45,39.646,0.425,44.87,32.46
2023-05-05,44.87,45.25,44.56,45.08,44.58,40.093,0.447,45.08,32.46
2023-05-12,45.52,47.97,45.52,47.91,45.258,40.735,0.642,47.91,32.46
2023-05-19,47.27,51.1,47.22,50.8,46.522,41.597,0.862,50.8,32.46
2023-05-26,50.2,51.9,49.92,51.25,47.982,42.512,0.915,51.25,32.46
2023-06-02,53.0,54.6,52.85,54.55,49.918,43.616,1.104,54.55,34.71
2023-06-09,54.65,55.6,53.5,55.15,51.932,44.638,1.022,55.15,34.98
2023-06-16,55.35,58.5,55.35,58.35,54.02,45.807,1.169,58.35,39.97
2023-06-23,58.2,58.9,57.75,58.75,55.61,46.689,0.882,58.75,39.97
2023-06-30,57.9,57.9,55.45,57.5,56.86,47.502,0.813,58.75,39.97
2023-07-07,58.75,59.2,58.35,58.7,57.69,48.376,0.874,58.75,39.97
2023-07-14,58.7,60.6,58.2,60.35,58.73,49.362,0.986,60.35,39.97
2023-07-21,60.15,61.9,58.25,59.15,58.89,50.321,0.959,60.35,39.99
2023-07-28,58.85,59.9,58.8,59.6,59.06,51.302,0.981,60.35,42.88
2023-08-04,60.65,61.65,60.1,60.55,59.67,52.185,0.883,60.55,43.76
2023-08-11,60.3,60.7,58.5,58.65,59.66,52.93,0.745,60.55,43.95
2023-08-18,58.2,59.55,56.4,56.4,58.87,53.528,0.598,60.55,43.95
2023-08-25,56.55,60.6,56.5,57.3,58.5,54.167,0.639,60.55,43.95
2023-09-01,57.8,60.45,57.75,60.35,58.65,54.96,0.793,60.55,43.95
2023-09-08,60.35,60.95,59.5,59.95,58.53,55.76,0.8,60.55,44.87
2023-09-15,60.0,61.1,59.95,60.8,58.96,56.557,0.797,60.8,45.08
2023-09-22,60.0,60.0,57.0,57.25,59.13,57.165,0.608,60.8,47.91
2023-09-29,57.25,57.55,56.6,57.0,59.07,57.62,0.455,60.8,50.8
2023-10-06,57.9,58.5,57.0,58.0,58.6,57.98,0.36,60.8,51.25
2023-10-13,59.2,60.35,59.2,59.95,58.6,58.415,0.435,60.8,54.55
2023-10-20,59.1,59.95,57.95,58.2,58.08,58.598,0.183,60.8,55.15
2023-10-27,57.3,58.4,55.85,56.25,57.88,58.653,0.055,60.8,56.25
2023-11-03,56.45,58.8,56.45,58.6,58.2,58.665,0.012,60.8,56.25
2023-11-10,59.2,60.8,59.0,60.5,58.7,58.752,0.087,60.8,56.25
2023-11-17,62.0,63.55,61.85,62.9,59.29,59.022,0.27,62.9,56.25
2023-11-24,62.85,63.6,62.3,63.4,60.33,59.257,0.235,63.4,56.25
2023-12-01,63.3,63.35,62.05,62.3,61.54,59.355,0.098,63.4,56.25
2023-12-08,62.05,62.4,61.15,62.2,62.26,59.507,0.152,63.4,56.25
2023-12-15,62.8,64.85,62.7,64.35,63.03,59.745,0.238,64.35,56.25
2023-12-22,64.7,66.35,64.7,65.7,63.59,60.002,0.257,65.7,56.25
2023-12-29,65.7,66.05,65.25,65.35,63.98,60.338,0.336,65.7,56.25
2024-01-05,65.05,65.1,62.75,62.8,64.08,60.658,0.32,65.7,56.25
2024-01-12,63.3,66.0,62.95,65.85,64.81,61.085,0.427,65.85,56.25
2024-01-19,65.85,66.25,65.6,66.15,65.17,61.375,0.29,66.15,56.25
